CustomerID,Gender,Age,City,JoinYear,LoyaltyTier
CUST00001,Male,42,Tabuk,2019,Platinum
CUST00002,Female,34,Riyadh,2021,Bronze
CUST00003,Female,33,Riyadh,2025,Gold
CUST00004,Male,20,Eastern,2023,Gold
CUST00005,Male,67,Tabuk,2024,Platinum
CUST00006,Male,69,Jeddah,2019,Platinum
CUST00007,Male,36,Makkah,2019,Silver
CUST00008,Male,38,Madinah,2023,Platinum
CUST00009,Female,34,Riyadh,2025,Silver
CUST00010,Female,40,Riyadh,2025,Gold
CUST00011,Female,25,Eastern,2022,Platinum
CUST00012,Female,42,Eastern,2020,Platinum
CUST00013,Female,41,Asir,2021,Bronze
CUST00014,Female,23,Eastern,2023,Silver
CUST00015,Female,38,Riyadh,2019,Gold
CUST00016,Female,37,Tabuk,2023,Platinum
CUST00017,Male,62,Tabuk,2021,Platinum
CUST00018,Male,64,Eastern,2023,Platinum
CUST00019,Female,58,Riyadh,2019,Platinum
CUST00020,Female,50,Jeddah,2019,Silver
CUST00021,Female,20,Jeddah,2019,Silver
CUST00022,Female,41,Eastern,2023,Bronze
CUST00023,Male,61,Tabuk,2021,Gold
CUST00024,Female,66,Riyadh,2023,Silver
CUST00025,Female,43,Eastern,2024,Gold
CUST00026,Male,25,Riyadh,2024,Silver
CUST00027,Female,51,Eastern,2023,Bronze
CUST00028,Female,67,Madinah,2024,Platinum
CUST00029,Male,57,Madinah,2024,Platinum
CUST00030,Male,25,Jeddah,2025,Bronze
CUST00031,Female,29,Tabuk,2019,Gold
CUST00032,Female,63,Riyadh,2023,Gold
CUST00033,Female,28,Jeddah,2025,Gold
CUST00034,Male,25,Makkah,2025,Silver
CUST00035,Male,68,Tabuk,2019,Gold
CUST00036,Female,47,Asir,2020,Bronze
CUST00037,Male,37,Eastern,2024,Platinum
CUST00038,Female,67,Eastern,2025,Bronze
CUST00039,Male,38,Riyadh,2022,Platinum
CUST00040,Female,26,Asir,2024,Silver
CUST00041,Male,45,Asir,2025,Bronze
CUST00042,Male,51,Jeddah,2021,Silver
CUST00043,Male,38,Makkah,2021,Gold
CUST00044,Male,34,Makkah,2024,Gold
CUST00045,Male,58,Madinah,2023,Bronze
CUST00046,Male,55,Hail,2020,Silver
CUST00047,Female,54,Riyadh,2025,Bronze
CUST00048,Male,20,Hail,2021,Silver
CUST00049,Female,57,Riyadh,2022,Gold
CUST00050,Female,48,Makkah,2025,Platinum
CUST00051,Female,47,Riyadh,2024,Bronze
CUST00052,Male,46,Eastern,2022,Platinum
CUST00053,Male,39,Hail,2020,Gold
CUST00054,Female,64,Eastern,2022,Silver
CUST00055,Female,50,Asir,2019,Gold
CUST00056,Male,47,Riyadh,2021,Platinum
CUST00057,Male,27,Riyadh,2019,Gold
CUST00058,Female,57,Eastern,2020,Silver
CUST00059,Female,54,Eastern,2020,Silver
CUST00060,Female,50,Tabuk,2022,Gold
CUST00061,Female,19,Riyadh,2022,Platinum
CUST00062,Male,31,Hail,2021,Bronze
CUST00063,Male,36,Tabuk,2023,Platinum
CUST00064,Female,52,Riyadh,2025,Bronze
CUST00065,Female,26,Madinah,2024,Gold
CUST00066,Female,41,Riyadh,2022,Bronze
CUST00067,Male,41,Asir,2021,Bronze
CUST00068,Female,50,Tabuk,2025,Gold
CUST00069,Male,26,Riyadh,2022,Gold
CUST00070,Female,53,Eastern,2025,Silver
CUST00071,Male,56,Asir,2022,Bronze
CUST00072,Male,20,Jeddah,2024,Gold
CUST00073,Female,51,Tabuk,2020,Silver
CUST00074,Female,57,Eastern,2020,Platinum
CUST00075,Female,55,Eastern,2023,Platinum
CUST00076,Female,48,Riyadh,2021,Gold
CUST00077,Male,44,Hail,2021,Bronze
CUST00078,Female,34,Hail,2023,Silver
CUST00079,Male,55,Tabuk,2020,Platinum
CUST00080,Male,70,Makkah,2019,Bronze
CUST00081,Male,19,Tabuk,2021,Platinum
CUST00082,Male,44,Makkah,2022,Platinum
CUST00083,Male,63,Jeddah,2023,Silver
CUST00084,Female,60,Tabuk,2023,Platinum
