TransactionID,Date,CustomerID,ProductID,Branch,Quantity,UnitPrice,SalesAmount,Rating,ReviewCategory
TXN000001,2019-09-21,CUST04172,PRD0463,Riyadh South,4,429.33,1717.32,4,Good
TXN000002,2025-11-21,CUST04125,PRD0086,Tabuk,12,31.52,378.24,2,Good
TXN000003,2020-10-03,CUST03253,PRD0101,Hail,10,277.22,2772.2,1,Average
TXN000004,2023-12-19,CUST03966,PRD0224,Riyadh South,11,232.95,2562.45,1,Average
TXN000005,2020-07-14,CUST03993,PRD0579,Riyadh North,9,342.81,3085.29,4,Average
TXN000006,2022-11-19,CUST00664,PRD0610,Dammam,12,311.28,3735.36,2,Excellent
TXN000007,2021-11-07,CUST01455,PRD0281,Riyadh North,6,30.3,181.8,2,Poor
TXN000008,2024-11-02,CUST00281,PRD0250,Makkah,9,249.71,2247.39,3,Average
TXN000009,2019-08-15,CUST03275,PRD0175,Tabuk,10,161.52,1615.2,4,Excellent
TXN000010,2021-08-31,CUST04953,PRD0665,Makkah,1,139.74,139.74,3,Poor
TXN000011,2024-02-25,CUST00564,PRD0696,Abha,6,152.31,913.86,2,Good
TXN000012,2023-10-03,CUST00619,PRD0555,Makkah,9,52.65,473.85,5,Good
TXN000013,2024-01-03,CUST02569,PRD0177,Riyadh South,2,28.99,57.98,2,Good
TXN000014,2022-02-24,CUST02544,PRD0385,Jeddah Central,1,54.77,54.77,2,Excellent
TXN000015,2020-02-08,CUST01385,PRD0241,Dammam,9,330.48,2974.32,2,Good
TXN000016,2019-05-10,CUST00630,PRD0790,Khobar,9,371.41,3342.69,5,Excellent
TXN000017,2023-08-11,CUST01947,PRD0228,Abha,7,421.34,2949.38,5,Excellent
TXN000018,2024-05-15,CUST00104,PRD0252,Tabuk,12,193.29,2319.48,5,Average
TXN000019,2024-06-14,CUST00351,PRD0439,Riyadh North,8,96.17,769.36,3,Good
TXN000020,2019-11-27,CUST00413,PRD0264,Tabuk,12,360.05,4320.6,1,Poor
TXN000021,2020-04-12,CUST02992,PRD0445,Riyadh North,4,138.15,552.6,5,Average
TXN000022,2020-03-02,CUST04335,PRD0185,Dammam,4,232.1,928.4,1,Excellent
TXN000023,2025-07-20,CUST02490,PRD0772,Dammam,2,313,626,3,Average
TXN000024,2023-09-18,CUST03240,PRD0621,Dammam,8,75.18,601.44,3,Poor
TXN000025,2020-04-15,CUST04084,PRD0615,Riyadh South,3,229.49,688.47,2,Poor
TXN000026,2024-01-02,CUST04105,PRD0752,Abha,11,406.39,4470.29,4,Good
TXN000027,2023-10-10,CUST00873,PRD0247,Jeddah Central,10,180.42,1804.2,4,Poor
